.mag.0,.mag.1,.mag.2
4895,-6855,5872
4894,-6864,5863
4894,-6864,5863
4894,-6864,5863
4894,-6864,5863
4901,-6853,5773
4901,-6853,5773
4901,-6853,5773
4903,-6896,5751
4903,-6896,5751
4903,-6896,5751
4903,-6896,5751
4922,-6921,5684
4922,-6921,5684
4922,-6921,5684
4891,-6942,5632
4891,-6942,5632
4891,-6942,5632
4891,-6942,5632
4915,-6956,5573
4915,-6956,5573
4915,-6956,5573
4915,-6956,5538
4902,-7004,5538
4902,-7004,5538
4902,-7004,5538
4917,-7031,5475
4917,-7031,5475
4917,-7031,5475
4874,-7073,5431
4874,-7073,5431
4874,-7073,5431
4874,-7073,5431
4859,-7106,5359
4859,-7106,5359
4859,-7106,5359
4848,-7168,5310
4848,-7168,5310
4848,-7168,5310
4848,-7168,5310
4810,-7231,5302
4810,-7231,5302
4810,-7231,5302
4792,-7283,5249
4792,-7283,5249
4792,-7283,5249
4792,-7283,5249
4772,-7346,5163
4772,-7346,5163
4772,-7346,5163
4780,-7369,5087
4780,-7369,5087
4780,-7369,5087
4780,-7369,5087
4722,-7460,5018
4722,-7460,5018
4722,-7460,5018
4686,-7505,4902
4686,-7505,4902
4686,-7505,4902
4607,-7532,4780
4607,-7532,4780
4607,-7532,4780
4607,-7532,4780
4563,-7574,4624
4563,-7574,4624
4563,-7574,4624
4471,-7660,4485
4471,-7660,4485
4471,-7660,4485
4471,-7660,4485
4349,-7698,4376
4349,-7698,4376
4349,-7698,4376
4227,-7773,4249
4227,-7773,4249
4227,-7773,4249
4227,-7773,4249
4122,-7805,4110
4122,-7805,4110
4122,-7805,4110
4012,-7890,4028
4012,-7890,4028
4012,-7890,4028
4012,-7890,4028
3863,-7941,3942
3863,-7941,3942
3863,-7941,3942
3863,-7941,3928
3745,-8014,3928
3745,-8014,3928
3745,-8014,3928
3627,-8058,3924
3627,-8058,3924
3627,-8058,3924
3502,-8117,3879
3502,-8117,3879
3502,-8117,3879
3502,-8117,3879
3408,-8204,3891
3408,-8204,3891
3408,-8204,3891
3408,-8204,3891
3303,-8285,3924
3303,-8285,3924
3303,-8285,3924
3243,-8351,3955
3243,-8351,3955
3243,-8351,3955
3243,-8351,3955
3145,-8390,4019
3145,-8390,4019
3145,-8390,4019
3133,-8430,4068
3133,-8430,4068
3133,-8430,4068
3133,-8430,4068
3067,-8480,4097
3067,-8480,4097
3067,-8480,4097
3028,-8530,4127
3028,-8530,4127
3028,-8530,4127
3002,-8593,4186
3002,-8593,4186
3002,-8593,4186
2944,-8631,4235
2944,-8631,4235
2944,-8631,4235
2944,-8631,4235
2876,-8693,4240
2876,-8693,4240
2876,-8693,4240
2876,-8693,4240
2860,-8719,4323
2860,-8719,4323
2860,-8719,4323
2803,-8737,4322
2803,-8737,4322
2803,-8737,4322
2803,-8737,4322
2740,-8769,4377
2740,-8769,4377
2740,-8769,4377
2683,-8794,4415
2683,-8794,4415
2683,-8794,4415
2683,-8794,4415
2632,-8798,4447
2632,-8798,4447
2632,-8798,4447
2632,-8798,4447
2554,-8826,4428
2554,-8826,4428
2554,-8826,4428
2499,-8836,4449
2499,-8836,4449
2499,-8836,4449
2499,-8836,4449
2433,-8855,4430
2433,-8855,4430
2433,-8855,4430
2433,-8855,4430
2338,-8853,4432
2338,-8853,4432
2338,-8853,4432
2338,-8853,4432
2271,-8869,4477
2271,-8869,4477
2271,-8869,4477
2271,-8869,4477
2237,-8840,4490
2237,-8840,4490
2237,-8840,4490
2148,-8864,4461
2148,-8864,4461
2148,-8864,4461
2148,-8864,4461
2043,-8835,4482
2043,-8835,4482
2043,-8835,4482
2043,-8835,4482
1966,-8839,4522
1966,-8839,4522
1966,-8839,4522
1843,-8860,4556
1843,-8860,4556
1843,-8860,4556
1843,-8860,4556
1707,-8819,4582
1707,-8819,4582
1707,-8819,4582
1707,-8819,4582
1589,-8785,4611
1589,-8785,4611
1589,-8785,4611
1407,-8781,4687
1407,-8781,4687
1407,-8781,4687
1407,-8781,4687
1259,-8726,4695
1259,-8726,4695
1259,-8726,4695
1259,-8726,4695
1130,-8709,4741
1130,-8709,4741
1130,-8709,4741
1130,-8709,4741
980,-8641,4713
980,-8641,4713
980,-8641,4713
871,-8576,4774
871,-8576,4774
871,-8576,4774
871,-8576,4774
779,-8550,4803
779,-8550,4803
779,-8550,4803
690,-8479,4840
690,-8479,4840
690,-8479,4840
690,-8479,4840
609,-8439,4840
609,-8439,4840
609,-8439,4840
526,-8386,4860
526,-8386,4860
526,-8386,4860
526,-8386,4860
495,-8359,4904
495,-8359,4904
495,-8359,4904
495,-8359,4904
401,-8300,4928
401,-8300,4928
401,-8300,4928
333,-8252,4942
333,-8252,4942
333,-8252,4942
333,-8252,4942
319,-8254,4954
319,-8254,4954
319,-8254,4954
319,-8192,4974
275,-8192,4974
275,-8192,4974
275,-8192,4974
257,-8141,5045
257,-8141,5045
257,-8141,5045
257,-8141,5045
186,-8121,4974
186,-8121,4974
186,-8121,4974
186,-8121,4974
150,-8070,5001
150,-8070,5001
150,-8070,5001
150,-8070,5001
121,-8079,5002
121,-8079,5002
121,-8079,5002
123,-8017,4956
123,-8017,4956
123,-8017,4956
123,-8017,4956
129,-7982,4949
129,-7982,4949
129,-7982,4949
129,-7982,4949
64,-7945,4981
64,-7945,4981
64,-7945,4981
43,-7918,4971
43,-7918,4971
43,-7918,4971
43,-7918,4971
-3,-7881,4950
-3,-7881,4950
-3,-7881,4950
-3,-7881,4950
-43,-7790,4945
-43,-7790,4945
-43,-7790,4945
-86,-7756,4925
-86,-7756,4925
-86,-7756,4925
-86,-7756,4925
-119,-7686,4890
-119,-7686,4890
-119,-7686,4890
-119,-7686,4890
-146,-7637,4924
-146,-7637,4924
-146,-7637,4924
-146,-7637,4889
-168,-7570,4889
-168,-7570,4889
-168,-7570,4889
-178,-7535,4869
-178,-7535,4869
-178,-7535,4869
-178,-7535,4869
-218,-7483,4858
-218,-7483,4858
-218,-7483,4858
-218,-7483,4858
-246,-7461,4836
-246,-7461,4836
-246,-7461,4836
-260,-7429,4819
-260,-7429,4819
-260,-7429,4819
-260,-7429,4819
-262,-7376,4794
-262,-7376,4794
-262,-7376,4794
-262,-7376,4794
-285,-7325,4797
-285,-7325,4797
-285,-7325,4797
-285,-7325,4797
-300,-7293,4819
-300,-7293,4819
-300,-7293,4819
-302,-7263,4812
-302,-7263,4812
-302,-7263,4812
-302,-7263,4812
-321,-7260,4813
-321,-7260,4813
-321,-7260,4813
-425,-7153,4849
-425,-7153,4849
-395,-7123,4851
-395,-7123,4851
-395,-7123,4851
-395,-7123,4851
-429,-7107,4972
-429,-7107,4972
-429,-7107,4972
-462,-7055,5034
-462,-7055,5034
-462,-7055,5034
-462,-7055,5034
-483,-7010,5165
-483,-7010,5165
-483,-7010,5165
-550,-6963,5319
-550,-6963,5319
-550,-6963,5319
-550,-6963,5319
-585,-6879,5459
-585,-6879,5459
-585,-6879,5459
-585,-6879,5459
-609,-6845,5578
-609,-6845,5578
-609,-6845,5578
-609,-6845,5578
-626,-6808,5718
-626,-6808,5718
-626,-6808,5718
-626,-6808,5718
-642,-6756,5840
-642,-6756,5840
-642,-6756,5840
-659,-6720,5994
-659,-6720,5994
-659,-6720,5994
-659,-6720,5994
-641,-6704,6144
-641,-6704,6144
-641,-6704,6144
-642,-6677,6277
-642,-6677,6277
-642,-6677,6277
-642,-6677,6277
-601,-6657,6441
-601,-6657,6441
-601,-6657,6441
-570,-6655,6549
-570,-6655,6549
-570,-6655,6549
-570,-6655,6549
-538,-6660,6700
-538,-6660,6700
-538,-6660,6700
-499,-6623,6827
-499,-6623,6827
-499,-6623,6827
-499,-6623,6827
-416,-6630,6931
-416,-6630,6931
-416,-6630,6931
-416,-6630,6931
-375,-6625,7080
-375,-6625,7080
-375,-6625,7080
-375,-6625,7080
-280,-6629,7249
-280,-6629,7249
-280,-6629,7249
-202,-6645,7377
-202,-6645,7377
-202,-6645,7377
-202,-6645,7377
-144,-6640,7436
-144,-6640,7436
-144,-6640,7436
-144,-6640,7436
-69,-6660,7537
-69,-6660,7537
-69,-6660,7537
46,-6683,7631
46,-6683,7631
46,-6683,7631
46,-6683,7631
122,-6721,7738
122,-6721,7738
122,-6721,7738
122,-6721,7738
280,-6752,7910
280,-6752,7910
280,-6752,7910
280,-6752,7910
475,-6749,8003
475,-6749,8003
475,-6749,8003
475,-6749,8003
648,-6821,8102
648,-6821,8102
648,-6821,8102
824,-6855,8198
824,-6855,8198
824,-6855,8198
824,-6855,8198
948,-6930,8224
948,-6930,8224
948,-6930,8224
948,-6930,8224
1077,-6965,8303
1077,-6965,8303
1077,-6965,8303
1077,-6965,8303
1230,-7004,8298
1230,-7004,8298
1230,-7004,8298
1230,-7004,8298
1349,-7045,8317
1349,-7045,8317
1349,-7045,8317
1349,-7045,8317
1499,-7112,8366
1499,-7112,8366
1499,-7112,8366
1614,-7148,8327
1614,-7148,8327
1614,-7148,8327
1614,-7148,8327
1674,-7197,8346
1674,-7197,8346
1674,-7197,8346
1674,-7197,8346
1771,-7232,8338
1771,-7232,8338
1771,-7232,8338
1803,-7239,8329
1803,-7239,8329
1803,-7239,8329
1803,-7239,8329
1784,-7247,8320
1784,-7247,8320
1784,-7247,8320
1784,-7297,8353
1833,-7297,8353
1833,-7297,8353
1833,-7297,8353
1845,-7265,8389
1845,-7265,8389
1845,-7265,8389
1845,-7265,8389
1881,-7251,8404
1881,-7251,8404
1881,-7251,8404
1881,-7251,8404
1923,-7217,8365
1923,-7217,8365
1923,-7217,8365
1923,-7217,8365
1971,-7221,8392
1971,-7221,8392
1971,-7221,8392
2020,-7227,8363
2020,-7227,8363
2020,-7227,8363
2020,-7227,8363
2122,-7241,8378
2122,-7241,8378
2122,-7241,8378
2122,-7241,8378
2209,-7253,8401
2209,-7253,8401
2209,-7253,8401
2317,-7284,8370
2317,-7284,8370
2317,-7284,8370
2317,-7284,8370
2395,-7277,8363
2395,-7277,8363
2395,-7277,8363
2481,-7241,8309
2481,-7241,8309
2481,-7241,8309
2481,-7241,8309
2530,-7286,8286
2530,-7286,8286
2530,-7286,8286
2530,-7286,8286
2588,-7277,8310
2588,-7277,8310
2588,-7277,8310
2588,-7277,8310
2641,-7257,8313
2641,-7257,8313
2641,-7257,8313
2641,-7250,8301
2679,-7250,8301
2679,-7250,8301
2679,-7250,8301
2747,-7249,8286
2747,-7249,8286
2747,-7249,8286
2747,-7249,8286
2812,-7256,8240
2812,-7256,8240
2812,-7256,8240
2875,-7214,8238
2875,-7214,8238
2875,-7214,8238
2875,-7214,8238
2931,-7219,8235
2931,-7219,8235
2931,-7219,8235
3012,-7210,8186
3012,-7210,8186
3012,-7210,8186
3012,-7210,8186
3090,-7217,8174
3090,-7217,8174
3090,-7217,8174
3163,-7193,8148
3163,-7193,8148
3163,-7193,8148
3245,-7231,8108
3245,-7231,8108
3245,-7231,8108
3245,-7231,8108
3281,-7243,8072
3281,-7243,8072
3281,-7243,8072
3369,-7236,8038
3369,-7236,8038
3369,-7236,8038
3369,-7236,8038
3383,-7264,8008
3383,-7264,8008
3383,-7264,8008
3383,-7264,8008
3445,-7257,7963
3445,-7257,7963
3445,-7257,7963
3507,-7254,7968
3507,-7254,7968
3507,-7254,7968
3510,-7247,7978
3510,-7247,7978
3510,-7247,7978
3510,-7247,7978
3554,-7244,8007
3554,-7244,8007
3554,-7244,8007
3554,-7244,8007
3571,-7251,7976
3571,-7251,7976
3571,-7251,7976
3560,-7209,7948
3560,-7209,7948
3560,-7209,7948
3560,-7209,7948
3584,-7192,7965
3584,-7192,7965
3584,-7192,7965
3595,-7199,7918
3595,-7199,7918
3595,-7199,7918
3595,-7199,7918
3631,-7172,7937
3631,-7172,7937
3631,-7172,7937
3631,-7172,7937
3627,-7185,7889
3627,-7185,7889
3627,-7185,7889
3679,-7183,7877
3679,-7183,7877
3679,-7183,7877
3708,-7202,7843
3708,-7202,7843
3708,-7202,7843
3708,-7202,7843
3772,-7181,7785
3772,-7181,7785
3772,-7181,7785
3830,-7178,7795
3830,-7178,7795
3830,-7178,7795
3830,-7178,7795
3845,-7212,7750
3845,-7212,7750
3845,-7212,7750
3897,-7203,7737
3897,-7203,7737
3897,-7203,7737
3897,-7203,7723
3905,-7182,7723
3905,-7182,7723
3905,-7182,7723
3933,-7202,7705
3933,-7202,7705
3933,-7202,7705
3933,-7202,7705
3947,-7182,7710
3947,-7182,7710
3947,-7182,7710
3921,-7198,7706
3921,-7198,7706
3921,-7198,7706
3927,-7178,7746
3927,-7178,7746
3927,-7178,7746
3927,-7178,7746
3949,-7121,7732
3949,-7121,7732
3949,-7121,7732
3913,-7137,7749
3913,-7137,7749
3913,-7137,7749
3911,-7083,7745
3911,-7083,7745
3911,-7083,7745
3911,-7083,7745
3910,-7037,7764
3910,-7037,7764
3910,-7037,7764
3897,-6993,7782
3897,-6993,7782
3897,-6993,7782
3897,-6993,7782
3864,-6934,7792
3864,-6934,7792
3864,-6934,7792
3852,-6888,7834
3852,-6888,7834
3852,-6888,7834
3863,-6828,7901
3863,-6828,7901
3863,-6828,7901
3863,-6828,7901
3842,-6763,7885
3842,-6763,7885
3842,-6763,7885
3842,-6763,7885
3859,-6722,7880
3859,-6722,7880
3859,-6722,7880
3881,-6663,7862
3881,-6663,7862
3881,-6663,7862
3881,-6663,7862
3898,-6607,7852
3898,-6607,7852
3898,-6607,7852
3897,-6527,7832
